Sign,Athlete,Artist,Politician,MilitaryPerson,Scientist,Cleric,Royalty,Judge,Criminal,Model,Architect,Philosopher,Economist,Astronaut,Engineer,Journalist,Chef,PlayboyPlaymate
Aries,21884,5351,2476,1659,1122,460,405,113,110,105,94,84,67,48,37,38,26,22
Taurus,20713,5140,2198,1556,1134,453,381,120,108,109,103,85,53,60,42,41,22,22
Gemini,20855,5437,2302,1582,1184,474,409,110,100,109,100,87,55,49,48,45,29,31
Cancer,20140,5223,2228,1597,1111,439,469,110,99,100,102,84,52,39,46,39,24,22
Leo,20936,5305,2453,1691,1108,477,480,119,140,113,103,54,61,59,54,36,22,23
Virgo,20606,5276,2239,1604,1028,468,422,123,128,119,78,72,46,59,57,37,21,25
Libra,20236,5257,2318,1604,1127,495,447,123,113,87,88,75,49,59,50,41,22,31
Scorpio,19460,5185,2362,1670,1102,505,476,148,124,91,105,79,45,56,55,36,23,20
Sagittarius,17927,4934,2101,1543,1017,403,376,105,119,92,98,72,38,32,40,29,25,26
Capricorn,21663,5303,2330,1706,1132,499,428,110,127,88,78,99,49,47,51,39,20,18
Aquarius,22139,5157,2254,1660,1072,492,374,130,140,94,97,85,58,45,48,38,28,22
Pisces,21323,5068,2287,1628,1102,478,423,139,107,95,115,88,52,56,47,26,28,24
